name, repeat, time, transf, fvc, depth, inv_depth, rate
orig, 1, 1, id, 1, 12, -1, 4591.263913
inc, 1, 1, id, 1, 12, -1, 9790992.745619
einc, 1, 1, id, 1, 12, -1, 514800.839993
orig, 1, 1, mod, 1, 12, 1, 4620.740240
inc, 1, 1, mod, 1, 12, 1, 597865.066863
orig, 1, 1, id, 1, 14, -1, 903.424409
inc, 1, 1, id, 1, 14, -1, 9705372.723392
einc, 1, 1, id, 1, 14, -1, 422033.393988
orig, 1, 1, mod, 1, 14, 1, 900.357869
inc, 1, 1, mod, 1, 14, 1, 530122.561712
orig, 1, 1, id, 1, 16, -1, 137.023967
inc, 1, 1, id, 1, 16, -1, 9606855.707445
einc, 1, 1, id, 1, 16, -1, 352007.334115
orig, 1, 1, mod, 1, 16, 1, 134.254093
inc, 1, 1, mod, 1, 16, 1, inf
orig, 1, 1, id, 2048, 12, -1, 4098.189513
inc, 1, 1, id, 2048, 12, -1, 8229.783727
einc, 1, 1, id, 2048, 12, -1, 1419.349990
orig, 1, 1, mod, 2048, 12, 1, 4084.737063
inc, 1, 1, mod, 2048, 12, 1, 2564.789649
orig, 1, 1, id, 2048, 14, -1, 777.458627
inc, 1, 1, id, 2048, 14, -1, 8119.394928
einc, 1, 1, id, 2048, 14, -1, 847.412895
orig, 1, 1, mod, 2048, 14, 1, 782.529554
inc, 1, 1, mod, 2048, 14, 1, 1223.096717
orig, 1, 1, id, 2048, 16, -1, 103.798179
inc, 1, 1, id, 2048, 16, -1, 8143.268468
einc, 1, 1, id, 2048, 16, -1, 628.859566
orig, 1, 1, mod, 2048, 16, 1, 104.445683
inc, 1, 1, mod, 2048, 16, 1, 825.143459
orig, 1, 1, id, 8192, 14, -1, 715.833847
inc, 1, 1, id, 8192, 14, -1, 1411.682998
einc, 1, 1, id, 8192, 14, -1, 305.885652
orig, 1, 1, mod, 8192, 14, 1, 716.935015
inc, 1, 1, mod, 8192, 14, 1, 446.577127
orig, 1, 1, id, 8192, 16, -1, 92.278944
inc, 1, 1, id, 8192, 16, -1, 1367.578069
einc, 1, 1, id, 8192, 16, -1, 154.146334
orig, 1, 1, mod, 8192, 16, 1, 79.724136
inc, 1, 1, mod, 8192, 16, 1, 121.748558
orig, 1, 1, id, 32768, 16, -1, 80.465148
inc, 1, 1, id, 32768, 16, -1, 219.149753
einc, 1, 1, id, 32768, 16, -1, 41.041101
orig, 1, 1, mod, 32768, 16, 1, 77.518028
inc, 1, 1, mod, 32768, 16, 1, 63.101573
orig, 1, 1, id, 1, 12, -1, 4223.797597
inc, 1, 1, id, 1, 12, -1, 8280815.161793
einc, 1, 1, id, 1, 12, -1, 475264.865369
orig, 1, 1, mod, 1, 12, 2, 4086.200264
inc, 1, 1, mod, 1, 12, 2, 324084.863018
orig, 1, 1, id, 1, 14, -1, 624.283043
inc, 1, 1, id, 1, 14, -1, 8505532.179998
einc, 1, 1, id, 1, 14, -1, 368925.977505
orig, 1, 1, mod, 1, 14, 2, 809.623982
inc, 1, 1, mod, 1, 14, 2, inf
orig, 1, 1, id, 1, 16, -1, 120.861668
inc, 1, 1, id, 1, 16, -1, 8775568.025604
einc, 1, 1, id, 1, 16, -1, 260328.255295
orig, 1, 1, mod, 1, 16, 2, 110.319878
inc, 1, 1, mod, 1, 16, 2, 9271.205328
orig, 1, 1, id, 2048, 12, -1, 3636.353714
inc, 1, 1, id, 2048, 12, -1, 7278.497523
einc, 1, 1, id, 2048, 12, -1, 1310.051559
orig, 1, 1, mod, 2048, 12, 2, 3824.234293
inc, 1, 1, mod, 2048, 12, 2, 3684.919434
orig, 1, 1, id, 2048, 14, -1, 723.523381
inc, 1, 1, id, 2048, 14, -1, 7883.709207
einc, 1, 1, id, 2048, 14, -1, 807.028150
orig, 1, 1, mod, 2048, 14, 2, 753.952586
inc, 1, 1, mod, 2048, 14, 2, 1180.858257
orig, 1, 1, id, 2048, 16, -1, 99.985528
inc, 1, 1, id, 2048, 16, -1, 7771.460909
einc, 1, 1, id, 2048, 16, -1, 602.906552
orig, 1, 1, mod, 2048, 16, 2, 102.281429
inc, 1, 1, mod, 2048, 16, 2, 846.675141
orig, 1, 1, id, 8192, 14, -1, 596.497119
inc, 1, 1, id, 8192, 14, -1, 1132.785009
einc, 1, 1, id, 8192, 14, -1, 280.937238
orig, 1, 1, mod, 8192, 14, 2, 654.603841
inc, 1, 1, mod, 8192, 14, 2, 676.548972
orig, 1, 1, id, 8192, 16, -1, 87.529435
inc, 1, 1, id, 8192, 16, -1, 1306.840537
einc, 1, 1, id, 8192, 16, -1, 140.144221
orig, 1, 1, mod, 8192, 16, 2, 84.527825
inc, 1, 1, mod, 8192, 16, 2, 162.900705
orig, 1, 1, id, 32768, 16, -1, 78.896475
inc, 1, 1, id, 32768, 16, -1, 290.479416
einc, 1, 1, id, 32768, 16, -1, 38.626918
orig, 1, 1, mod, 32768, 16, 2, 78.169046
inc, 1, 1, mod, 32768, 16, 2, 101.910156
orig, 1, 1, id, 1, 12, -1, 4098.593899
inc, 1, 1, id, 1, 12, -1, 8853633.973923
einc, 1, 1, id, 1, 12, -1, 456306.375157
orig, 1, 1, mod, 1, 12, 4, 4098.872408
inc, 1, 1, mod, 1, 12, 4, 495754.772295
orig, 1, 1, id, 1, 14, -1, 822.881322
inc, 1, 1, id, 1, 14, -1, 9050718.387704
einc, 1, 1, id, 1, 14, -1, 349015.678394
orig, 1, 1, mod, 1, 14, 4, 812.538194
inc, 1, 1, mod, 1, 14, 4, 506478.495275
orig, 1, 1, id, 1, 16, -1, 118.278529
inc, 1, 1, id, 1, 16, -1, 8577625.765527
einc, 1, 1, id, 1, 16, -1, 323231.044192
orig, 1, 1, mod, 1, 16, 4, 117.484051
inc, 1, 1, mod, 1, 16, 4, 232641.955611
orig, 1, 1, id, 2048, 12, -1, 3733.667439
inc, 1, 1, id, 2048, 12, -1, 7454.006293
einc, 1, 1, id, 2048, 12, -1, 1320.250703
orig, 1, 1, mod, 2048, 12, 4, 3858.123375
inc, 1, 1, mod, 2048, 12, 4, 5855.125656
orig, 1, 1, id, 2048, 14, -1, 676.995687
inc, 1, 1, id, 2048, 14, -1, 7345.052880
einc, 1, 1, id, 2048, 14, -1, 762.413677
orig, 1, 1, mod, 2048, 14, 4, 667.509444
inc, 1, 1, mod, 2048, 14, 4, 1639.477360
orig, 1, 1, id, 2048, 16, -1, 88.016149
inc, 1, 1, id, 2048, 16, -1, 7615.198862
einc, 1, 1, id, 2048, 16, -1, 563.116092
orig, 1, 1, mod, 2048, 16, 4, 95.476597
inc, 1, 1, mod, 2048, 16, 4, 798.703049
orig, 1, 1, id, 8192, 14, -1, 612.351361
inc, 1, 1, id, 8192, 14, -1, 1245.519696
einc, 1, 1, id, 8192, 14, -1, 254.270928
orig, 1, 1, mod, 8192, 14, 4, 637.873070
inc, 1, 1, mod, 8192, 14, 4, 1011.568996
orig, 1, 1, id, 8192, 16, -1, 78.312452
inc, 1, 1, id, 8192, 16, -1, 1260.189142
einc, 1, 1, id, 8192, 16, -1, 133.663435
orig, 1, 1, mod, 8192, 16, 4, 75.737564
inc, 1, 1, mod, 8192, 16, 4, 286.364729
orig, 1, 1, id, 32768, 16, -1, 46.999393
inc, 1, 1, id, 32768, 16, -1, 153.616402
einc, 1, 1, id, 32768, 16, -1, 27.831046
orig, 1, 1, mod, 32768, 16, 4, 30.599103
inc, 1, 1, mod, 32768, 16, 4, 67.251333
orig, 1, 1, id, 2048, 14, -1, 210.858125
inc, 1, 1, id, 2048, 14, -1, 4266.161103
einc, 1, 1, id, 2048, 14, -1, 470.769334
orig, 1, 1, mod, 2048, 14, 8, 375.019651
inc, 1, 1, mod, 2048, 14, 8, 1208.565616
orig, 1, 1, id, 2048, 16, -1, 62.651331
inc, 1, 1, id, 2048, 16, -1, 4590.893437
einc, 1, 1, id, 2048, 16, -1, 331.809115
orig, 1, 1, mod, 2048, 16, 8, 61.326271
inc, 1, 1, mod, 2048, 16, 8, 738.759445
orig, 1, 1, id, 8192, 14, -1, 395.670185
inc, 1, 1, id, 8192, 14, -1, 797.864997
einc, 1, 1, id, 8192, 14, -1, 170.608075
orig, 1, 1, mod, 8192, 14, 8, 373.095415
inc, 1, 1, mod, 8192, 14, 8, 659.559514
orig, 1, 1, id, 8192, 16, -1, 52.660795
inc, 1, 1, id, 8192, 16, -1, 572.279219
einc, 1, 1, id, 8192, 16, -1, 81.826214
