name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.000000, id, 1024, 16, -1, 27.021185
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4355.100007
einc, 1, 1, 0.000000, id, 1024, 16, -1, 346.916570
orig, 1, 1, 0.000000, add, 1024, 16, 12, 26.774380
inc, 1, 1, 0.000000, add, 1024, 16, 12, 427.178281
orig, 1, 1, 0.000000, id, 2048, 16, -1, 23.879773
inc, 1, 1, 0.000000, id, 2048, 16, -1, 1975.864962
einc, 1, 1, 0.000000, id, 2048, 16, -1, 175.394014
orig, 1, 1, 0.000000, add, 2048, 16, 12, 27.584587
inc, 1, 1, 0.000000, add, 2048, 16, 12, 213.328668
orig, 1, 1, 0.000000, id, 1, 16, -1, 79.705338
inc, 1, 1, 0.000000, id, 1, 16, -1, 3567179.687740
einc, 1, 1, 0.000000, id, 1, 16, -1, 153540.336947
orig, 1, 1, 0.000000, add, 1, 16, 14, 71.280788
inc, 1, 1, 0.000000, add, 1, 16, 14, 174039.965403
orig, 1, 1, 0.000000, id, 1024, 16, -1, 29.212888
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4386.995170
einc, 1, 1, 0.000000, id, 1024, 16, -1, 374.274150
orig, 1, 1, 0.000000, add, 1024, 16, 14, 28.929137
inc, 1, 1, 0.000000, add, 1024, 16, 14, 408.807953
orig, 1, 1, 0.000000, id, 2048, 16, -1, 25.286368
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2050.383541
einc, 1, 1, 0.000000, id, 2048, 16, -1, 200.169567
orig, 1, 1, 0.000000, add, 2048, 16, 14, 27.043521
inc, 1, 1, 0.000000, add, 2048, 16, 14, 193.707741
