name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 1.000000, id, 1, 12, -1, 5154.236111
inc, 1, 1, 1.000000, id, 1, 12, -1, 5972469.808740
einc, 1, 1, 1.000000, id, 1, 12, -1, 397495.573480
orig, 1, 1, 1.000000, add, 1, 12, 1, 5002.446021
inc, 1, 1, 1.000000, add, 1, 12, 1, 396575.964700
orig, 1, 1, 1.000000, elim, 1, 12, 1, 10480.188737
inc, 1, 1, 1.000000, elim, 1, 12, 1, 288514.874055
orig, 1, 1, 1.000000, move, 1, 12, 1, 5042.358887
inc, 1, 1, 1.000000, move, 1, 12, 1, 12972.075210
orig, 1, 1, 1.000000, id, 1, 14, -1, 1041.908286
inc, 1, 1, 1.000000, id, 1, 14, -1, 5942520.480601
einc, 1, 1, 1.000000, id, 1, 14, -1, 327034.963987
orig, 1, 1, 1.000000, add, 1, 14, 1, 991.799100
inc, 1, 1, 1.000000, add, 1, 14, 1, 290469.416785
orig, 1, 1, 1.000000, elim, 1, 14, 1, 2305.688750
inc, 1, 1, 1.000000, elim, 1, 14, 1, 31920.872204
orig, 1, 1, 1.000000, move, 1, 14, 1, 1032.846697
inc, 1, 1, 1.000000, move, 1, 14, 1, 2699.081118
orig, 1, 1, 1.000000, id, 1, 16, -1, 143.094661
inc, 1, 1, 1.000000, id, 1, 16, -1, 5820975.866972
einc, 1, 1, 1.000000, id, 1, 16, -1, 269674.274206
orig, 1, 1, 1.000000, add, 1, 16, 1, 139.951907
inc, 1, 1, 1.000000, add, 1, 16, 1, inf
orig, 1, 1, 1.000000, elim, 1, 16, 1, 387.344501
inc, 1, 1, 1.000000, elim, 1, 16, 1, 41648.730090
orig, 1, 1, 1.000000, move, 1, 16, 1, 134.298121
inc, 1, 1, 1.000000, move, 1, 16, 1, 638.102742
orig, 1, 1, 1.000000, id, 1024, 12, -1, 1067.275276
inc, 1, 1, 1.000000, id, 1024, 12, -1, 6831.721303
einc, 1, 1, 1.000000, id, 1024, 12, -1, 1161.597622
orig, 1, 1, 1.000000, add, 1024, 12, 1, 1067.526922
inc, 1, 1, 1.000000, add, 1024, 12, 1, 1286.951057
orig, 1, 1, 1.000000, elim, 1024, 12, 1, 2196.201035
inc, 1, 1, 1.000000, elim, 1024, 12, 1, 6701.667873
orig, 1, 1, 1.000000, move, 1024, 12, 1, 1069.691522
inc, 1, 1, 1.000000, move, 1024, 12, 1, 1830.673445
orig, 1, 1, 1.000000, id, 1024, 14, -1, 248.321629
inc, 1, 1, 1.000000, id, 1024, 14, -1, 6894.501320
einc, 1, 1, 1.000000, id, 1024, 14, -1, 780.292160
orig, 1, 1, 1.000000, add, 1024, 14, 1, 249.396962
inc, 1, 1, 1.000000, add, 1024, 14, 1, 936.144842
orig, 1, 1, 1.000000, elim, 1024, 14, 1, 513.912484
inc, 1, 1, 1.000000, elim, 1024, 14, 1, 6184.701804
orig, 1, 1, 1.000000, move, 1024, 14, 1, 250.915601
inc, 1, 1, 1.000000, move, 1024, 14, 1, 1007.562922
orig, 1, 1, 1.000000, id, 1024, 16, -1, 48.617442
inc, 1, 1, 1.000000, id, 1024, 16, -1, 6901.742477
einc, 1, 1, 1.000000, id, 1024, 16, -1, 613.872374
orig, 1, 1, 1.000000, add, 1024, 16, 1, 49.061813
inc, 1, 1, 1.000000, add, 1024, 16, 1, 659.415806
orig, 1, 1, 1.000000, elim, 1024, 16, 1, 111.112799
inc, 1, 1, 1.000000, elim, 1024, 16, 1, 3796.867584
orig, 1, 1, 1.000000, move, 1024, 16, 1, 49.302184
inc, 1, 1, 1.000000, move, 1024, 16, 1, 306.406113
orig, 1, 1, 1.000000, id, 4096, 14, -1, 214.046390
inc, 1, 1, 1.000000, id, 4096, 14, -1, 1589.286473
einc, 1, 1, 1.000000, id, 4096, 14, -1, 251.401067
orig, 1, 1, 1.000000, add, 4096, 14, 1, 215.296995
inc, 1, 1, 1.000000, add, 4096, 14, 1, 262.224370
orig, 1, 1, 1.000000, elim, 4096, 14, 1, 450.927118
inc, 1, 1, 1.000000, elim, 4096, 14, 1, 1322.550769
orig, 1, 1, 1.000000, move, 4096, 14, 1, 214.036596
inc, 1, 1, 1.000000, move, 4096, 14, 1, 384.013020
orig, 1, 1, 1.000000, id, 4096, 16, -1, 42.595364
inc, 1, 1, 1.000000, id, 4096, 16, -1, 1592.869739
einc, 1, 1, 1.000000, id, 4096, 16, -1, 170.408310
orig, 1, 1, 1.000000, add, 4096, 16, 1, 42.732968
inc, 1, 1, 1.000000, add, 4096, 16, 1, 173.792847
orig, 1, 1, 1.000000, elim, 4096, 16, 1, 95.793993
inc, 1, 1, 1.000000, elim, 4096, 16, 1, 971.146720
orig, 1, 1, 1.000000, move, 4096, 16, 1, 42.768836
inc, 1, 1, 1.000000, move, 4096, 16, 1, 170.115102
orig, 1, 1, 1.000000, id, 16384, 16, -1, 37.959518
inc, 1, 1, 1.000000, id, 16384, 16, -1, 365.647292
einc, 1, 1, 1.000000, id, 16384, 16, -1, 51.911034
orig, 1, 1, 1.000000, add, 16384, 16, 1, 37.654786
inc, 1, 1, 1.000000, add, 16384, 16, 1, 47.635843
orig, 1, 1, 1.000000, elim, 16384, 16, 1, 85.141434
inc, 1, 1, 1.000000, elim, 16384, 16, 1, 276.696127
orig, 1, 1, 1.000000, move, 16384, 16, 1, 38.676042
inc, 1, 1, 1.000000, move, 16384, 16, 1, 78.426850
orig, 1, 1, 1.000000, id, 32768, 16, -1, 36.708769
inc, 1, 1, 1.000000, id, 32768, 16, -1, 169.993021
einc, 1, 1, 1.000000, id, 32768, 16, -1, 28.906357
orig, 1, 1, 1.000000, add, 32768, 16, 1, 35.962168
inc, 1, 1, 1.000000, add, 32768, 16, 1, 39.864013
orig, 1, 1, 1.000000, elim, 32768, 16, 1, 80.659986
inc, 1, 1, 1.000000, elim, 32768, 16, 1, 0.034005
orig, 1, 1, 1.000000, move, 32768, 16, 1, 36.516136
inc, 1, 1, 1.000000, move, 32768, 16, 1, 51.628602
orig, 1, 1, 1.000000, id, 1, 12, -1, 4798.703966
inc, 1, 1, 1.000000, id, 1, 12, -1, 5562066.758891
einc, 1, 1, 1.000000, id, 1, 12, -1, 372063.770485
orig, 1, 1, 1.000000, add, 1, 12, 2, 4787.988612
inc, 1, 1, 1.000000, add, 1, 12, 2, 382328.533358
orig, 1, 1, 1.000000, elim, 1, 12, 2, 6523.670048
inc, 1, 1, 1.000000, elim, 1, 12, 2, 13566.830298
orig, 1, 1, 1.000000, move, 1, 12, 2, 4775.054654
inc, 1, 1, 1.000000, move, 1, 12, 2, 12329.753907
orig, 1, 1, 1.000000, id, 1, 14, -1, 983.604643
inc, 1, 1, 1.000000, id, 1, 14, -1, 5510398.052274
einc, 1, 1, 1.000000, id, 1, 14, -1, 305440.962880
orig, 1, 1, 1.000000, add, 1, 14, 2, 981.635899
inc, 1, 1, 1.000000, add, 1, 14, 2, 423478.392416
orig, 1, 1, 1.000000, elim, 1, 14, 2, 1487.408419
inc, 1, 1, 1.000000, elim, 1, 14, 2, 3127.523311
orig, 1, 1, 1.000000, move, 1, 14, 2, 987.232503
inc, 1, 1, 1.000000, move, 1, 14, 2, 2469.493494
orig, 1, 1, 1.000000, id, 1, 16, -1, 134.594290
inc, 1, 1, 1.000000, id, 1, 16, -1, 5522853.997128
einc, 1, 1, 1.000000, id, 1, 16, -1, 257236.688603
orig, 1, 1, 1.000000, add, 1, 16, 2, 135.463900
inc, 1, 1, 1.000000, add, 1, 16, 2, 217417.660134
orig, 1, 1, 1.000000, elim, 1, 16, 2, 201.681191
inc, 1, 1, 1.000000, elim, 1, 16, 2, 587.729674
orig, 1, 1, 1.000000, move, 1, 16, 2, 129.591538
inc, 1, 1, 1.000000, move, 1, 16, 2, 633.965480
orig, 1, 1, 1.000000, id, 1024, 12, -1, 1062.672828
inc, 1, 1, 1.000000, id, 1024, 12, -1, 6895.419783
einc, 1, 1, 1.000000, id, 1024, 12, -1, 1161.555406
orig, 1, 1, 1.000000, add, 1024, 12, 2, 1070.008572
inc, 1, 1, 1.000000, add, 1024, 12, 2, 1579.300326
orig, 1, 1, 1.000000, elim, 1024, 12, 2, 1443.750824
