name, repeat, time, transf, fvc, depth, inv_depth, rate
inc, 1, 3, add, 2, 10, 2, 5621968.695410
orig, 1, 3, elim, 2, 10, 2, 24582.260366
inc, 1, 3, elim, 2, 10, 2, 5643598.545099
orig, 1, 3, move, 2, 10, 2, 18301.226712
inc, 1, 3, move, 2, 10, 2, 5411156.985663
orig, 1, 3, id, 2, 12, -1, 4261.975313
inc, 1, 3, id, 2, 12, -1, 16621653.624995
einc, 1, 3, id, 2, 12, -1, 548821.327417
orig, 1, 3, add, 2, 12, 2, 4269.175361
inc, 1, 3, add, 2, 12, 2, 5590043.784474
orig, 1, 3, elim, 2, 12, 2, 5797.215998
inc, 1, 3, elim, 2, 12, 2, 5562977.050312
orig, 1, 3, move, 2, 12, 2, 4188.390089
inc, 1, 3, move, 2, 12, 2, 5615279.513286
orig, 1, 3, id, 2, 14, -1, 906.955846
inc, 1, 3, id, 2, 14, -1, 16595612.480129
einc, 1, 3, id, 2, 14, -1, 448863.672536
orig, 1, 3, add, 2, 14, 2, 905.842418
inc, 1, 3, add, 2, 14, 2, 5612139.468405
orig, 1, 3, elim, 2, 14, 2, 1349.879355
inc, 1, 3, elim, 2, 14, 2, 5650159.907501
orig, 1, 3, move, 2, 14, 2, 904.123691
inc, 1, 3, move, 2, 14, 2, 5617522.015678
orig, 1, 3, id, 2, 16, -1, 137.692188
inc, 1, 3, id, 2, 16, -1, 16657352.349979
einc, 1, 3, id, 2, 16, -1, 377449.516605
orig, 1, 3, add, 2, 16, 2, 140.126241
inc, 1, 3, add, 2, 16, 2, 5624930.054698
orig, 1, 3, elim, 2, 16, 2, 206.025391
inc, 1, 3, elim, 2, 16, 2, 5633394.315462
orig, 1, 3, move, 2, 16, 2, 137.048759
inc, 1, 3, move, 2, 16, 2, 5612850.889219
orig, 1, 3, id, 2, 18, -1, 27.769839
inc, 1, 3, id, 2, 18, -1, 16607530.981524
einc, 1, 3, id, 2, 18, -1, 323363.608936
orig, 1, 3, add, 2, 18, 2, 27.643076
inc, 1, 3, add, 2, 18, 2, 5608665.301874
orig, 1, 3, elim, 2, 18, 2, 38.646380
inc, 1, 3, elim, 2, 18, 2, 5624814.312598
orig, 1, 3, move, 2, 18, 2, 27.776373
inc, 1, 3, move, 2, 18, 2, 5587365.447929
orig, 1, 3, id, 2, 20, -1, 6.333225
inc, 1, 3, id, 2, 20, -1, 16673940.279544
einc, 1, 3, id, 2, 20, -1, 278837.803748
orig, 1, 3, add, 2, 20, 2, 6.444331
inc, 1, 3, add, 2, 20, 2, 5582320.677369
orig, 1, 3, elim, 2, 20, 2, 8.715081
inc, 1, 3, elim, 2, 20, 2, 5611863.908585
orig, 1, 3, move, 2, 20, 2, 6.468992
inc, 1, 3, move, 2, 20, 2, 5616642.131108
orig, 1, 3, id, 4, 4, -1, 1172517.126778
inc, 1, 3, id, 4, 4, -1, 8852842.324708
einc, 1, 3, id, 4, 4, -1, 1275875.953428
orig, 1, 3, add, 4, 4, 2, 1175572.831840
inc, 1, 3, add, 4, 4, 2, 3698193.744370
orig, 1, 3, elim, 4, 4, 2, 1597168.915708
inc, 1, 3, elim, 4, 4, 2, 3943454.633704
orig, 1, 3, move, 4, 4, 2, 1196438.715288
inc, 1, 3, move, 4, 4, 2, 3735806.994348
orig, 1, 3, id, 4, 6, -1, 266431.688326
inc, 1, 3, id, 4, 6, -1, 10101518.208868
einc, 1, 3, id, 4, 6, -1, 894770.581868
orig, 1, 3, add, 4, 6, 2, 265973.395052
inc, 1, 3, add, 4, 6, 2, 3940963.114009
orig, 1, 3, elim, 4, 6, 2, 348795.229557
inc, 1, 3, elim, 4, 6, 2, 3938667.048513
orig, 1, 3, move, 4, 6, 2, 264507.257808
inc, 1, 3, move, 4, 6, 2, 3950083.682235
orig, 1, 3, id, 4, 8, -1, 63884.665010
inc, 1, 3, id, 4, 8, -1, 10196477.583341
einc, 1, 3, id, 4, 8, -1, 684205.159222
orig, 1, 3, add, 4, 8, 2, 63845.765963
inc, 1, 3, add, 4, 8, 2, 3940430.857000
orig, 1, 3, elim, 4, 8, 2, 85332.883485
inc, 1, 3, elim, 4, 8, 2, 3928014.361933
orig, 1, 3, move, 4, 8, 2, 63819.516438
inc, 1, 3, move, 4, 8, 2, 3923772.156374
orig, 1, 3, id, 4, 10, -1, 15415.556392
inc, 1, 3, id, 4, 10, -1, 10147928.172277
einc, 1, 3, id, 4, 10, -1, 539647.473590
orig, 1, 3, add, 4, 10, 2, 15435.694722
inc, 1, 3, add, 4, 10, 2, 3930049.203038
orig, 1, 3, elim, 4, 10, 2, 20593.294190
inc, 1, 3, elim, 4, 10, 2, 3934098.075068
orig, 1, 3, move, 4, 10, 2, 15366.052474
inc, 1, 3, move, 4, 10, 2, 3934851.694415
orig, 1, 3, id, 4, 12, -1, 3624.199460
inc, 1, 3, id, 4, 12, -1, 10160276.750002
einc, 1, 3, id, 4, 12, -1, 438386.093007
orig, 1, 3, add, 4, 12, 2, 3639.233624
inc, 1, 3, add, 4, 12, 2, 3945075.099147
orig, 1, 3, elim, 4, 12, 2, 4877.773210
inc, 1, 3, elim, 4, 12, 2, 3943501.060736
orig, 1, 3, move, 4, 12, 2, 3619.491242
inc, 1, 3, move, 4, 12, 2, 3940401.818793
orig, 1, 3, id, 4, 14, -1, 789.303049
inc, 1, 3, id, 4, 14, -1, 10108058.825193
einc, 1, 3, id, 4, 14, -1, 366800.098005
orig, 1, 3, add, 4, 14, 2, 791.927967
inc, 1, 3, add, 4, 14, 2, 3924788.257063
orig, 1, 3, elim, 4, 14, 2, 1155.682623
inc, 1, 3, elim, 4, 14, 2, 3920659.361767
orig, 1, 3, move, 4, 14, 2, 791.799320
inc, 1, 3, move, 4, 14, 2, 3931489.769030
orig, 1, 3, id, 4, 16, -1, 125.024243
inc, 1, 3, id, 4, 16, -1, 10121008.401256
einc, 1, 3, id, 4, 16, -1, 311532.818368
orig, 1, 3, add, 4, 16, 2, 127.609064
inc, 1, 3, add, 4, 16, 2, 3937117.116259
orig, 1, 3, elim, 4, 16, 2, 184.348054
inc, 1, 3, elim, 4, 16, 2, 3937065.800996
orig, 1, 3, move, 4, 16, 2, 124.558571
inc, 1, 3, move, 4, 16, 2, 3925212.848112
orig, 1, 3, id, 4, 18, -1, 25.511363
inc, 1, 3, id, 4, 18, -1, 10128191.542330
einc, 1, 3, id, 4, 18, -1, 269285.007583
orig, 1, 3, add, 4, 18, 2, 25.485268
inc, 1, 3, add, 4, 18, 2, 3933450.748402
orig, 1, 3, elim, 4, 18, 2, 35.746390
inc, 1, 3, elim, 4, 18, 2, 3906312.541324
orig, 1, 3, move, 4, 18, 2, 25.394421
inc, 1, 3, move, 4, 18, 2, 3903373.161663
