name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.000000, elim, 1024, 16, 8, 51.497234
inc, 1, 1, 0.000000, elim, 1024, 16, 8, 271.439541
orig, 1, 1, 0.000000, move, 1024, 16, 8, 51.041952
inc, 1, 1, 0.000000, move, 1024, 16, 8, 182.312215
orig, 1, 1, 0.000000, id, 2048, 16, -1, 47.642802
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3401.376894
einc, 1, 1, 0.000000, id, 2048, 16, -1, 326.723082
orig, 1, 1, 0.000000, add, 2048, 16, 8, 47.437144
inc, 1, 1, 0.000000, add, 2048, 16, 8, 446.836446
orig, 1, 1, 0.000000, elim, 2048, 16, 8, 48.737694
inc, 1, 1, 0.000000, elim, 2048, 16, 8, 197.416180
orig, 1, 1, 0.000000, move, 2048, 16, 8, 47.718811
inc, 1, 1, 0.000000, move, 2048, 16, 8, 131.590883
orig, 1, 1, 0.000000, id, 1, 16, -1, 134.037424
inc, 1, 1, 0.000000, id, 1, 16, -1, 5592292.073730
einc, 1, 1, 0.000000, id, 1, 16, -1, 256945.324709
orig, 1, 1, 0.000000, add, 1, 16, 8, 134.926624
inc, 1, 1, 0.000000, add, 1, 16, 8, 301131.362246
orig, 1, 1, 0.000000, elim, 1, 16, 8, 142.615288
inc, 1, 1, 0.000000, elim, 1, 16, 8, 732.279749
orig, 1, 1, 0.000000, move, 1, 16, 8, 136.017150
inc, 1, 1, 0.000000, move, 1, 16, 8, 686.807216
orig, 1, 1, 0.000000, id, 1024, 16, -1, 50.395947
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7059.290292
einc, 1, 1, 0.000000, id, 1024, 16, -1, 621.738175
orig, 1, 1, 0.000000, add, 1024, 16, 8, 50.547075
inc, 1, 1, 0.000000, add, 1024, 16, 8, 844.885969
orig, 1, 1, 0.000000, elim, 1024, 16, 8, 51.771801
inc, 1, 1, 0.000000, elim, 1024, 16, 8, 266.023318
orig, 1, 1, 0.000000, move, 1024, 16, 8, 50.437708
inc, 1, 1, 0.000000, move, 1024, 16, 8, 182.529716
orig, 1, 1, 0.000000, id, 2048, 16, -1, 47.373466
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3390.741759
